Store	Date	foot_traffic	visitor	customer	Transaction	sale
Store 1	2016-01-01	17036	2497	633	87	55071
Store 1	2016-01-02	16390	3603	790	90	71100
Store 1	2016-01-03	17056	1921	232	79	18328
Store 1	2016-01-04	13893	3033	531	82	43542
Store 1	2016-01-05	17704	3007	303	85	25755
Store 1	2016-01-06	14067	1896	222	87	19314
Store 1	2016-01-07	11531	2669	274	70	19180
Store 1	2016-01-08	15108	3544	687	109	74883
Store 1	2016-01-09	17759	4298	430	87	37410
Store 1	2016-01-10	14705	2470	274	110	30140
Store 1	2016-01-11	14214	2791	450	116	52200
Store 1	2016-01-12	18403	3473	652	121	78892
Store 1	2016-01-13	17234	3449	446	90	40140
Store 1	2016-01-14	10347	1725	355	91	32305
Store 1	2016-01-15	13545	1671	278	128	35584
Store 1	2016-01-16	13922	3197	582	68	39576
Store 1	2016-01-17	15816	2830	312	104	32448
Store 1	2016-01-18	13926	2147	584	74	43216
Store 1	2016-01-19	15687	3363	503	100	50300
Store 1	2016-01-20	14749	2495	737	80	58960
Store 1	2016-01-21	17950	3304	610	128	78080
Store 1	2016-01-22	14368	2605	556	125	69500
Store 1	2016-01-23	14861	2726	702	125	87750
Store 1	2016-01-24	11911	2968	410	150	61500
Store 1	2016-01-25	17116	3621	784	74	58016
Store 1	2016-01-26	16074	3147	757	89	67373
Store 1	2016-01-27	15098	3627	825	78	64350
Store 1	2016-01-28	13967	2803	735	99	72765
Store 1	2016-01-29	14875	1719	246	89	21894
Store 1	2016-01-30	15992	3888	731	101	73831
Store 1	2016-01-31	16747	4030	717	107	76719
Store 1	2016-02-01	15017	2587	358	82	29356
Store 1	2016-02-02	13173	1987	347	98	34006
Store 1	2016-02-03	11500	1825	454	112	50848
Store 1	2016-02-04	14008	2700	745	132	98340
Store 1	2016-02-05	14379	3158	605	106	64130
Store 1	2016-02-06	16556	3889	431	86	37066
Store 1	2016-02-07	13211	2458	253	101	25553
Store 1	2016-02-08	15578	3088	521	85	44285
Store 1	2016-02-09	16507	2394	646	94	60724
Store 1	2016-02-10	17357	2076	558	102	56916
Store 1	2016-02-11	13414	2763	602	92	55384
Store 1	2016-02-12	13878	1999	575	102	58650
Store 1	2016-02-13	15966	2895	728	105	76440
Store 1	2016-02-14	14660	2184	649	119	77231
Store 1	2016-02-15	15130	3660	652	116	75632
Store 1	2016-02-16	11565	2253	426	95	40470
Store 1	2016-02-17	14892	2656	359	107	38413
Store 1	2016-02-18	13494	2217	570	131	74670
Store 1	2016-02-19	17902	3943	744	58	43152
Store 1	2016-02-20	14862	3204	753	104	78312
Store 1	2016-02-21	17828	3450	699	102	71298
