_id,_class,tenantId,storeId,storeName,timeZone,deviceId,deviceName,eventStartDateTime,eventEndDateTime,menuName,menuId,className,modelName,deviceType,pathId,pathName
ObjectId(5b3e4ba36e249a60dd6efa63),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-05T16:38:19,2018-07-05T16:40:20,Visualiser,5b3826bb6e249a32f5db4c99,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b6c066fc3a72292332>5b3826b7c066fc3a72292337>5b3826b9c066fc3a7229233d>5b3826bb6e249a32f5db4c99,Podium>NEW CARS>Choose Your Model>ASTRA HATCHBACK>Visualiser
ObjectId(5b3e1bf06e249a60dd5eb331),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-05T12:17:37,2018-07-05T12:22:16,Visualiser,5b3826bb6e249a32f5db4c9f,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b6c066fc3a72292332>5b3826b7c066fc3a72292337>5b3826b9c066fc3a7229233b>5b3826bb6e249a32f5db4c9f,Podium>NEW CARS>Choose Your Model>NEW GRANDLAND X>Visualiser
ObjectId(5b3de3166e249a60dd4b41c6),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-05T09:19:58,2018-07-05T09:21:26,USED CARS,5b3826b66e249a32f5db4c7f,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b66e249a32f5db4c7f,Podium>USED CARS
ObjectId(5b3ddf766e249a60dd49cdf7),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-05T09:03:56,2018-07-05T09:05:57,USED CARS,5b3826b66e249a32f5db4c7f,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b66e249a32f5db4c7f,Podium>USED CARS
ObjectId(5b3ddd576e249a60dd48cf7f),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-05T08:56:50,2018-07-05T08:56:51,HELP ME CHOOSE,5b3826b66e249a32f5db4c80,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b66e249a32f5db4c80,Podium>HELP ME CHOOSE
ObjectId(5b3ddd576e249a60dd48cf7e),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-05T08:51:58,2018-07-05T08:53:42,USED CARS,5b3826b66e249a32f5db4c7f,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b66e249a32f5db4c7f,Podium>USED CARS
ObjectId(5b3cf3016e249a60dd0d612b),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-04T16:17:00,2018-07-04T16:17:05,Accessories,5b1bbc57c066fc1c01f6a9ca,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9ca,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Accessories
ObjectId(5b3cf3016e249a60dd0d612a),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-04T16:16:53,2018-07-04T16:17:00,Trims,5b1bbc586e249a1be885f513,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9d6>5b1bbc586e249a1be885f513,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Brochure>Trims
ObjectId(5b3cf3016e249a60dd0d6129),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-04T16:16:52,2018-07-04T16:16:53,Lifestyle,5b1bbc586e249a1be885f512,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9d6>5b1bbc586e249a1be885f512,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Brochure>Lifestyle
ObjectId(5b3cf3016e249a60dd0d6127),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-04T16:16:51,2018-07-04T16:16:52,Lifestyle,5b1bbc586e249a1be885f512,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9d6>5b1bbc586e249a1be885f512,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Brochure>Lifestyle
