Date,ProductGrp,Cntry,Site,Type,Rank,Brand,Model,Name,Price,Curr
2018-12-31,Mobile,CZ,Mall,Tile,5,Samsung,Galaxy A7,Samsung Galaxy A7 (2018),6990.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,5,Samsung,Galaxy A7 Dual,Samsung Galaxy A7 Dual SIM modr,6999.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,13,Samsung,Galaxy A7 Dual,Samsung Galaxy A7 Dual SIM ern,6999.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,14,Samsung,Galaxy J6 Duos,Samsung Galaxy J6 Duos fialov,4299.0,CZK
2018-12-31,Mobile,CZ,Datart,Tile,18,Samsung,Galaxy A6+ ern,Samsung Galaxy A6+ ern (SM-A605FZKNXEZ),6390.0,CZK
2018-12-31,Mobile,CZ,Datart,Tile,26,Samsung,Galaxy J3,Samsung Galaxy J3 (2017),2999.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,6,Samsung,Galaxy J5,Samsung Galaxy J5 (2017),3999.0,CZK
2018-12-31,Mobile,CZ,Datart,TOP,7,Samsung,Galaxy J5,Samsung Galaxy J5 (2017),3790.0,CZK
2018-12-31,Mobile,CZ,Datart,TOP,10,Samsung,Galaxy J5,Samsung Galaxy J5 (2017),3790.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,15,Samsung,Galaxy J5,Samsung Galaxy J5 (2017),3999.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,6,Samsung,Galaxy Note9 8/512GB,"Samsung Galaxy Note9, 8/512GB, ern",32490.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,21,Samsung,Galaxy S7 G930F,Samsung Galaxy S7 G930F 32GB,6599.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,25,Samsung,Galaxy S9 Plus,Samsung Galaxy S9 Plus G965F 64GB Dual SIM,15290.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,9,Samsung,Galaxy S8 G950F,Samsung Galaxy S8 G950F 64GB,10249.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,15,Samsung,Galaxy A7,Samsung Galaxy A7 (2018),6669.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,2,Samsung,Galaxy S9 G960F,Samsung Galaxy S9 G960F 64GB Dual SIM,12906.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,10,HUAWEI,Y6 Prime,HUAWEI Y6 Prime (2018),3499.0,CZK
